      7.07290  7.91877e+08  1.79332e-21  1.03695e-22  4.21041e-20      4.77773     0.892045      32.4820      81.8539      38.2346      134.256     -1.24453     -1.57378    -0.974365    -0.675789    -0.990283    -0.447327     0.548058     0.514889     0.613971      28.3468      19.2285      49.5345
      6.84270  8.26920e+08  3.06188e-21  9.15382e-23  6.55963e-20      6.42511     0.394251      56.1261      87.7110      41.3123      142.532     -1.04921     -1.42817    -0.799245    -0.413044    -0.858254    -0.170220     0.624727     0.567120     0.648808      38.7430      21.6917      77.0535
      6.62820  8.61963e+08  1.61494e-21  4.47341e-23  2.26569e-20      3.22300     0.270906      21.7063      93.3963      45.4701      153.201    -0.888377     -1.30317    -0.721475    -0.279163    -0.785503    -0.116209     0.605304     0.555727     0.630839      57.4609      27.9245      113.587
      6.42773  8.97004e+08  1.48520e-21  9.13212e-23  2.91277e-20      2.67638     0.356893      16.5553      85.1537      43.3440      136.929    -0.876674     -1.31660    -0.692179    -0.329136    -0.830247    -0.150888     0.544665     0.504286     0.566672      46.4301      25.2103      78.4614
      6.23989  9.32043e+08  8.69503e-22  5.23113e-23  2.86376e-20      3.48193     0.392562      30.5067      102.425      50.6473      158.606     -1.02412     -1.42037    -0.687862    -0.536873    -0.926149    -0.216926     0.487631     0.437840     0.522652      35.8111      21.7796      59.5913
      6.06345  9.67081e+08  1.23027e-21  5.31134e-23  1.69997e-20      4.43879     0.419538      17.8557      102.975      52.4505      162.430     -1.01339     -1.47135    -0.650209    -0.526404    -0.985848    -0.186639     0.480021     0.423875     0.534552      42.9374      23.0655      88.1238
      5.89733  1.00212e+09  1.85042e-21  1.11184e-22  2.44829e-20      4.28904     0.510411      28.9712      99.7496      53.3406      160.076    -0.838580     -1.29622    -0.641747    -0.309624    -0.793241    -0.150949     0.518183     0.457095     0.561687      43.9094      24.9147      72.8003
      5.74061  1.03715e+09  1.31630e-21  3.71455e-23  2.52773e-20      5.70926     0.518790      34.1965      115.772      55.5462      187.724    -0.961360     -1.39240    -0.746511    -0.430166    -0.895489    -0.264794     0.506311     0.439224     0.556835      44.4097      25.4972      82.0410
      5.59245  1.07219e+09  2.81233e-21  4.59041e-23  7.43376e-20      9.12771     0.627385      81.5981      113.061      54.7558      192.623    -0.850563     -1.39014    -0.640824    -0.293145    -0.885802    -0.108561     0.539980     0.495114     0.569215      37.5957      24.3679      61.3332
      5.45213  1.10722e+09  3.14978e-21  4.37541e-23  1.49978e-19      13.6993     0.728985      138.651      116.221      51.8093      197.223    -0.820809     -1.43964    -0.578386    -0.271326    -0.945832   -0.0301319     0.541112     0.500913     0.563472      42.0521      25.3017      70.2061
      5.31900  1.14225e+09  3.63388e-21  4.71824e-23  1.83888e-19      17.3156     0.743476      211.153      128.101      57.0869      216.020    -0.719212     -1.27505    -0.593485    -0.141434    -0.770144   -0.0107107     0.564862     0.508685     0.596899      49.8488      31.9146      79.1820
