# star name [Fe/H]  [Mg/Fe]  [Eu/Fe]
CS22166m016  0 -3.16 0 +0.66 0 +0.19
CS22172m029  0 -2.69 0 +0.54 0 +0.20
CS22182m033  0 -2.56 0 +0.39 0 +0.40
CS22182m047  0 -2.08 0 +0.46 0 +0.13
CS22183m031  0 -3.54 0 +0.80 0 +0.84
CS22185m007  0 -3.04 0 +0.54 0 -0.31
CS22186m002  0 -2.61 0 +0.33 0 +0.44
CS22186m023  0 -2.96 0 +0.33 0 -0.70
CS22191m029  0 -2.94 0 +0.48 0 +0.37
CS22875m029  0 -2.70 0 +0.42 0 +0.92
CS22877m001  0 -3.28 0 +0.38 0 -0.05
CS22877m015  0 -2.06 0 +0.47 0 +0.72
CS22879m029  0 -2.45 0 +0.46 0 +0.39
CS22879m103  0 -2.16 0 +0.63 0 +0.29
CS22881m036  0 -2.35 0 +0.47 0 +0.58
CS22882m001  0 -2.62 0 +0.34 0 +0.81
CS22883m037  0 -1.99 0 +0.45 0 +0.38
CS22886m012  0 -2.75 0 +0.46 0 +0.85
CS22886m044  0 -1.75 0 +0.39 0 +0.44
CS22888m047  0 -2.54 0 +0.26 0 +0.86
CS22890m024  0 -2.67 0 +0.32 0 +0.11
CS22891m200  0 -3.97 0 +0.88 0 -0.07
CS22891m209  0 -3.38 0 +0.61 0 -0.13
CS22892m052  0 -3.20 0 +0.58 0 +1.35
CS22896m015  0 -2.84 0 +0.47 0 +0.18
CS22896m055  0 -2.51 0 +0.32 0 +0.47
CS22896m110  0 -2.85 0 +0.64 0 +0.05
CS22896m136  0 -2.30 0 +0.49 0 +0.59
CS22897m008  0 -3.78 0 +0.53 0 -0.13
CS22937m072  0 -2.71 0 +0.55 0 -0.19
CS22940m070  0 -1.44 0 +0.52 0 +0.15
CS22940m121  0 -3.13 0 +0.62 0 +0.24
CS22941m017  0 -3.09 0 +0.58 0 +0.36
CS22942m011  0 -2.85 0 +0.56 0 +0.13
CS22942m035  0 -3.04 0 +0.45 0 -0.07
CS22943m132  0 -2.65 0 +0.59 0 +0.86
CS22945m017  0 -2.81 0 +0.42 0 +1.13
CS22945m024  0 -2.58 0 +0.46 0 +0.44
CS22945m028  0 -2.91 0 +0.57 0 +0.23
CS22945m056  0 -2.83 0 +0.33 0 +0.68
CS22945m058  0 -2.84 0 +0.38 0 +1.13
CS22947m187  0 -2.58 0 +0.62 0 +0.56
CS22951m059  0 -2.83 0 +0.60 0 +0.33
CS22951m077  0 -2.54 0 +0.47 0 -0.01
CS22953m003  0 -3.06 0 +0.55 0 +0.79
CS22954m015  0 -2.04 0 +0.46 0 +0.06
CS22955m110  0 -1.38 0 +0.46 0 +0.35
CS22955m174  0 -3.10 0 +0.51 0 +0.34
CS22956m102  0 -2.30 0 +0.32 0 +0.82
CS22956m114  0 -3.02 0 +0.55 0 -0.12
CS22957m013  0 -3.00 0 +0.44 0 -0.27
CS22957m026  0 -1.91 0 +0.39 0 +0.37
CS22957m036  0 -2.18 0 +0.43 0 +0.55
CS22958m037  0 -2.51 0 +0.35 0 +0.51
CS22958m052  0 -2.52 0 +0.44 0 +1.00
CS22960m064  0 -2.77 0 +0.45 0 +0.35
CS22965m016  0 -3.03 0 +0.60 0 -0.24
CS22968m026  0 -2.45 0 +0.45 0 +0.58
CS29493m062  0 -2.67 0 +0.46 0 +0.31
CS29495m042  0 -2.36 0 +0.45 0 +0.25
