#
# NOTES:
# Roederer 14 have some new abundances I haven't included
#
#Ref  Star  [Fe/H]  [Mg/Fe]  [Eu/Fe]
10 HR370   0.12    0.04    -0.11
10 HR573   -0.34    0.06    0.13
10 HR646   -0.32    0.13    0.13
10 HR740   -0.25    0.10    0.06
10 HR1010   -0.23    0.12    0.05
10 HR1083   -0.11    -0.06    0.03
10 HR1101   -0.11    0.09    0.06
10 HR1173   0.09    0.08    -0.02
10 HR1257   0.04    0.13    0.05
10 HR1536   0.14    0.20    0.01
10 HR1545   -0.33    0.34    -0.01
10 HR1673   -0.30    0.16    0.17
10 HR1687   0.26    0.06    -0.07
10 HR1983   -0.07    0.01    0.07
10 HR2233   -0.17    0.11    0.21
10 HR2354   0.13    0.08    -0.05
10 HR2548   -0.20    0.06    0.16
10 HR2835   -0.55    0.23    0.19
10 HR2883   -0.75    0.29    0.31
10 HR2906   -0.18    0.09    0.15
10 HR2943   -0.02    0.09    -0.04
10 HR3018   -0.78    0.38    0.40
10 HR3220   -0.26    0.18    0.18
10 HR3578   -0.82    0.35    0.42
10 HR4158   -0.24    0.05    0.17
10 HR4540   0.13    0.04    -0.02
10 HR4657   -0.70    0.34    0.24
10 HR4734   0.10    0.03    0.00
10 HR4903   0.24    0.12    -0.01
10 HR4989   -0.28    0.19    0.09
10 HR5338   -0.11    0.18    0.05
10 HR5542   0.13    0.01    0.02
10 HR5698   0.01    0.13    0.07
10 HR5723   -0.12    0.15    0.07
10 HR5996   0.23    0.10    -0.11
10 HR6189   -0.56    0.20    0.16
10 HR6409   0.09    0.12    0.04
10 HR6569   -0.27    0.19    0.13
10 HR6649   -0.34    0.08    0.13
10 HR6907   0.13    0.02    0.05
10 HR7126   0.21    -0.07    -0.11
10 HR7560   0.09    0.09    -0.01
10 HR7875   -0.44    0.12    0.18
10 HR8077   -0.07    0.08    0.05
10 HR8181   -0.67    0.14    0.12
10 HR8665   -0.32    0.15    0.20
10 HR8697   -0.25    0.13    0.12
10 HR8969   -0.17    0.17    0.22
10 HD6434   -0.54    0.32    0.35
10 HD17548   -0.59    0.15    0.11
10 HD51929   -0.64    0.32    0.31
10 HD78747   -0.64    0.34    0.34
10 HD130551   -0.62    0.18    0.17
10 HD165401   -0.46    0.36    0.21
10 HD188815   -0.58    0.20    0.14
10 HD199289   -1.03    0.40    0.26
10 HD210752   -0.64    0.16    0.09
10 HD215257   -0.65    0.10    0.18
10 HD218504   -0.62    0.29    0.23
10 HD70   -0.35    -0.02    0.08
10 HD153   -0.11    0.06    0.01
10 HD330   -0.27    0.07    0.00
10 HD912   -0.26    0.09    0.01
10 HD3079   -0.19    -0.03    -0.06
10 HD3440   -0.36    0.10    -0.02
10 HD3454   -0.58    0.11    0.21
10 HD3532   -0.35    0.11    0.04
10 HD5065   -0.18    0.06    0.16
10 HD6250   -0.15    0.05    0.07
10 HD6312   -0.32    0.00    0.09
10 HD8671   -0.16    0.03    0.03
10 HD9091   -0.35    0.10    0.00
10 HD9670   -0.28    0.11    0.13
10 HD11007   -0.31    0.05    0.16
10 HD11045   -0.39    0.19    0.14
10 HD14877   -0.42    0.09    -0.03
10 HD15398   -0.01    0.02    -0.03
10 HD16067   -0.12    0.06    0.02
10 HD20427   -0.52    0.12    -0.09
10 HD22255   -0.28    0.10    0.08
10 HD22521   -0.25    0.09    0.17
10 HD22718   -0.19    0.09    -0.01
10 HD23438   -0.36    0.07    0.14
10 HD24421   -0.38    0.04    0.09
10 HD26421   -0.39    0.12    0.08
10 HD27816   -0.54    0.14    0.07
10 HD36066   -0.01    0.11    0.03
10 HD36667   -0.45    0.14    0.14
10 HD45067   -0.12    0.07    -0.03
10 HD52711   -0.20    0.06    0.08
10 HD59360   -0.21    0.06    0.07
10 HD63333   -0.38    0.05    0.05
10 HD69897   -0.25    0.10    0.05
10 HD71148   -0.08    0.04    0.01
10 HD73400   -0.21    0.10    0.16
10 HD80218   -0.28    0.11    0.05
10 HD86884   -0.28    0.08    0.12
10 HD87838   -0.43    0.14    0.21
10 HD88446   -0.35    0.15    0.24
10 HD89010   -0.06    0.04    0.15
10 HD91638   -0.25    0.09    0.13
10 HD97037   -0.14    0.06    0.09
10 HD99126   -0.15    0.11    0.12
10 HD100067   -0.31    0.07    0.18
10 HD101472   -0.15    -0.02    -0.02
10 HD101676   -0.46    0.17    0.09
10 HD101716   -0.18    0.13    -0.03
10 HD102080   -0.36    0.05    0.04
10 HD103891   -0.25    0.06    0.07
10 HD106510   -0.46    0.10    0.09
10 HD107038   -0.39    0.09    0.06
10 HD108134   -0.38    0.03    -0.06
10 HD109154   -0.42    0.07    0.15
10 HD109303   -0.44    0.07    0.23
10 HD112756   -0.35    0.10    0.24
10 HD112887   -0.32    0.11    0.14
10 HD126053   -0.41    0.04    0.32
10 HD130253   -0.23    0.08    -0.06
10 HD133641   -0.42    0.06    0.06
10 HD139457   -0.49    0.08    0.07
10 HD140750   -0.37    -0.05    0.19
10 HD152986   -0.17    0.03    -0.01
10 HD160078   -0.14    0.02    0.05
10 HD198089   -0.30    0.07    0.24
10 HD201444   -0.63    0.12    0.29
10 HD201490   -0.23    0.04    0.04
10 HD201639   -0.54    0.09    0.24
10 HD202884   -0.24    0.04    0.24
10 HD204712   -0.48    0.11    0.18
10 HD206860   -0.12    -0.11    0.12
10 HD209858   -0.27    0.00    0.16
10 HD210457   -0.27    0.03    0.09
10 HD210923   -0.21    0.05    0.02
10 HD212858   -0.39    0.04    0.10
10 HD214111   -0.14    0.01    0.09
10 HD214435   -0.31    0.04    -0.06
10 HD214557   -0.05    0.07    0.25
10 HD215442   -0.22    0.08    0.03
10 HD216106   -0.33    0.12    0.02
10 HD216385   -0.16    0.07    -0.02
10 HD217877   -0.18    0.05    0.01
10 HD218172   -0.21    0.00    0.11
10 HD219306   -0.31    0.10    -0.04
10 HD219476   -0.54    0.12    0.10
10 HD219983   -0.20    0.02    -0.02
10 HD220842   -0.31    0.08    0.17
10 HD222155   -0.29    0.11    0.25
10 HD223436   -0.04    0.05    0.11
10 HD223583   -0.48    0.11    -0.05
10 HD224233   -0.24    0.09    0.21
10 HD225239   -0.53    0.11    0.14

# References
# 1: Fulbright (2000)
# 2: Reddy et al. (2003)
# 3: Cohen et al. (2004)
# 4: Barklem et al. (2005)
# 5: Reddy et al. (2006)
# 6: Cayrel et al. (2004)
# 10: Venn et al. (2004)
