#
# NOTES:
# Roederer 14 have some new abundances I haven't included
#
#Ref  Star  [Fe/H]  [Mg/Fe]  [Eu/Fe]
4 HE2158m3112   -2.74    0.36    0.62
4 HE2206m2245   -3.18    0.22    0.58
4 HE2216m1548   -1.65    0.17   -0.15
4 HE2217m0706   -2.68    0.42    1.05
4 HE2224p0143   -3.02    0.33    0.45
4 HE2229m4153   -2.15    0.28    0.56
4 HE2242m1930   -1.56    0.18    0.95
4 HE2244m1503   -2.17    0.31    0.53
4 HE2252m4157   -1.88    0.25    0.99
4 HE2252m4225   -2.24    0.22    0.98
4 HE2301m4024   -2.73    0.24    1.22
4 HE2327m5642   -1.78    0.29   -0.25
5 HIP3185      -0.65     0.40    0.60
5 HIP3441      -0.50     0.32    0.42
5 HIP4039      -1.24     0.30    0.88
5 HIP4544      -0.87     0.39    0.53
5 HIP5122      -0.62     0.26    0.40
5 HIP5315      -0.47     0.46    0.43
5 HIP5336      -0.86     0.24    0.34
5 HIP5775      -0.59     0.32    0.43
5 HIP6159      -0.67     0.33    0.46
5 HIP6607      -0.41     0.18    0.41
5 HIP7961      -0.64     0.35    0.28
5 HIP9080      -0.37     0.14    0.19
5 HIP10652      -0.67     0.24    0.39
5 HIP12579      -0.80     0.26    0.37
5 HIP13366      -0.70     0.37    0.29
5 HIP15405      -0.73     0.16    0.24
5 HIP17147      -0.87     0.44    0.42
5 HIP17666      -1.03     0.35    0.57
5 HIP22020      -0.35     0.24    0.21
5 HIP22060      -0.63     0.28    0.47
5 HIP23080      -0.32     0.24    0.40
5 HIP25860      -0.35     0.29    0.35
5 HIP26452      -0.89     0.33    0.41
5 HIP26828      -0.34     0.23    0.13
5 HIP27128      -0.81     0.33    0.40
5 HIP29269      -0.68     0.36    0.29
5 HIP31188      -0.59     0.12    0.17
5 HIP34642      -0.44     0.10    0.15
5 HIP35989      -0.19     -0.03    0.13
5 HIP36849      -0.77     0.27    0.39
5 HIP37233      -0.51     0.36    0.36
5 HIP38769      -0.79     0.34    0.26
5 HIP39893      -0.84     0.29    0.53
5 HIP40613      -0.62     0.39    0.24
5 HIP43393      -0.59     0.20    0.33
5 HIP44075      -0.86     0.27    0.35
5 HIP44347      -0.85     0.43    0.52
5 HIP44860      -0.51     0.37    0.39
5 HIP45947      -0.46     0.25    0.57
5 HIP50005      -0.53     0.30    0.42
5 HIP50671      -0.48     0.13    0.17
5 HIP50965      -0.57     0.26    0.34
5 HIP52673      -0.66     0.27    0.40
5 HIP58843      -0.79     0.28    0.44
5 HIP59233      -0.83     0.38    0.12
5 HIP59750      -0.74     0.32    0.32
5 HIP60268      -0.72     0.28    0.41
5 HIP60956      -0.58     0.22    0.44
5 HIP62240      -0.83     0.33    0.57
5 HIP64426      -0.71     0.33    0.21
5 HIP65449      -0.44     0.20    0.29
5 HIP70520      -0.62     0.28    0.28
5 HIP70681      -1.10     0.32    0.53
5 HIP71819      -0.14     0.06    0.03
5 HIP72407      -0.54     0.32    0.56
5 HIP72803      -0.73     0.34    0.42
5 HIP74033      -0.85     0.41    0.34
5 HIP74067      -0.75     0.31    0.48
5 HIP81748      -0.01     -0.03    0.04
5 HIP84781      -0.29     0.25    0.45
5 HIP84803      -0.52     0.31    0.25
5 HIP84862      -0.41     0.35    0.45
5 HIP85373      -0.82     0.18    0.71
5 HIP85378      -0.51     0.34    0.36
5 HIP85757      -0.70     0.36    0.09
5 HIP86013      -0.70     0.31    0.35
5 HIP86830      -0.59     0.35    0.25
5 HIP87533      -0.21     0.15    -0.06
5 HIP88039      -0.81     0.43    0.26
5 HIP88166      -0.76     0.34    0.52
5 HIP94129      -0.27     0.25    0.30
5 HIP96185      -0.56     0.22    0.20
5 HIP96902      -0.29     0.25    0.14
5 HIP98532      -1.13     0.34    0.31
5 HIP99224      -0.12     0.01    0.08
5 HIP104659      -1.07     0.35    0.27
5 HIP108056      0.14     0.09    -0.12
5 HIP109384      -0.38     0.30    0.34
5 HIP110291      -0.93     0.36    0.40
5 HIP111517      -0.45     0.31    0.36
5 HIP112811      -0.70     0.30    0.28
5 HIP113514      -0.63     0.29    0.43
5 HIP116421      -0.51     0.31    0.23
5 HIP117029      -0.77     0.33    0.25
5 HIP2909      -0.28     0.19    0.16
5 HIP14086      -0.65     0.39    0.39
5 HIP19696      -0.24     0.12    0.25
5 HIP26437      0.10     0.07    -0.08
5 HIP39616      -0.41     0.15    0.12
5 HIP40118      -0.47     0.21    0.38
5 HIP64924      -0.03     0.02    0.15
5 HIP73078      -0.11     0.15    -0.10
5 HIP74933      -0.39     0.11    0.24
5 HIP81681      -0.38     0.27    0.30
5 HIP84506      0.09     0.04    -0.11
5 HIP10449      -0.87     0.26    0.49
5 HIP28671      -1.01     0.14    0.42
5 HIP55592      -0.94     0.31    0.40
5 HIP62882      -0.98     0.26    0.12
5 HIP78640      -1.34     0.29    0.06
5 HIP80837      -0.80     0.36    0.29
5 HIP86321      -0.87     0.15    0.36
5 HIP86431      -0.54     0.24    0.30
5 HIP94449      -1.12     0.46    0.10
5 HIP100568      -0.99     0.20    0.41
5 HIP5163      -0.74     0.27    0.38
5 HIP8720      -0.74     0.40    0.45
5 HIP10711      -0.69     0.25    0.27
5 HIP12381      -0.16     0.17    0.14
5 HIP15126      -0.82     0.28    0.49
5 HIP15394      -0.27     0.26    0.09
5 HIP21227      -0.45     0.12    0.37
5 HIP21306      -0.65     0.23    0.29
5 HIP21703      0.15     -0.06    0.14
5 HIP21921      -0.41     0.21    0.47
5 HIP30990      -0.87     0.34    0.29
5 HIP33382      -0.05     0.07    0.08
5 HIP34511      -0.15     0.04    0.11
5 HIP35148      -0.30     0.17    0.08
5 HIP40023      -0.12     0.03    -0.05
5 HIP42734      -0.70     0.31    0.34
5 HIP47588      -0.47     0.28    0.26
5 HIP52015      -0.02     0.05    -0.03
5 HIP53535      0.11     -0.06    -0.16
5 HIP54196      -0.39     0.16    0.17
5 HIP62077      -0.59     0.31    0.36
5 HIP64103      -0.21     0.13    0.17
5 HIP74442      -0.23     0.16    0.07
5 HIP74443      -0.59     0.12    0.44
5 HIP80162      -0.66     0.06    0.41
5 HIP82265      0.09     0.17    0.22
5 HIP89583      -0.20     0.27    0.40
5 HIP90745      -0.50     0.36    0.22
5 HIP94615      0.20     -0.01    0.06
5 HIP99938      -0.54     0.30    0.37
5 HIP102081      0.09     0.20    -0.01
5 HIP107236      -0.50     0.29    0.42
5 HIP115721      -0.46     0.26    0.30
5 HIP20298      -0.84     0.42    0.29
5 HIP23922      -0.66     0.29    0.35
5 HIP26617      -0.75     0.23    0.39
5 HIP43595      -0.84     0.29    0.36
5 HIP48209      -0.65     0.21    0.35
5 HIP51477      -1.25     0.44    0.29
5 HIP60331      -0.64     0.22    0.58
5 HIP62507      -0.24     0.15    -0.05
5 HIP71019      -0.39     0.23    0.21
9 HD000245   -0.84    0.32    0.35
9 HD003765   0.01    0.02    0.03
9 HD005351   -0.21    0.09    0.08
9 HD006582   -0.94    0.37    0.41
9 HD013783   -0.75    0.41    0.39
9 HD018757   -0.25    0.35    0.22
9 HD022879   -0.77    0.42    0.41
9 HD065583   -0.67    0.22    0.41
9 HD110897   -0.45    0.25    0.29
9 HD135204   -0.16    0.23    0.20
9 HD152391   -0.08    0.06    0.12
9 HD157089   -0.56    0.29    0.37
9 HD157214   -0.29    0.13    0.21
9 HD159062   -0.40    0.28    0.29
9 HD165401   -0.36    0.26    0.27
9 HD190360   0.12    0.06    0.02
9 HD201889   -0.85    0.40    0.34
9 HD204521   -0.66    0.27    0.30
9 HD000166   0.16    -0.13    -0.09
