# star name [Fe/H] [Mg/Fe] [Eu/Fe]
CS22169m008  0 -2.72 0 +0.47 -1 +0.89
CS22169m035  0 -3.21 0 +0.51 -1 -0.68
CS22171m031  0 -2.48 0 +0.42 -1 +0.55
CS22171m037  0 -3.49 0 +0.32 -1 +1.56
CS22174m020  0 -3.16 0 +0.48 -1 +1.10
CS22177m009  0 -3.40 0 +0.40 -1 +1.48
CS22177m010  0 -2.94 0 +0.51 -1 +1.04
CS22180m014  0 -2.88 0 +0.55 -1 +0.95
CS22186m017  0 -2.86 0 +0.45 -1 +0.99
CS22189m009  0 -3.88 0 +0.55 -1 +0.25
CS22871m104  0 -2.13 0 +0.44 -1 +0.89
CS22872m102  0 -2.83 0 +0.50 -1 +0.98
CS22873m072  0 -2.97 0 +0.44 -1 +1.22
CS22873m128  0 -3.28 0 +0.57 -1 -0.34
CS22874m123  0 -2.70 0 +0.36 -1 +1.23
CS22876m040  0 -2.34 0 +0.43 -1 +0.84
CS22877m011  0 -3.17 0 +0.47 -1 -0.06
CS22877m051  0 -2.90 0 +0.52 -1 +0.89
CS22878m002  0 -3.04 0 +0.51 -1 +1.26
CS22878m027  0 -2.95 0 +0.30 -1 +1.12
CS22878m101  0 -3.42 0 +0.64 -1 -0.27
CS22879m012  0 -2.91 0 +0.46 -1 +0.74
CS22879m051  0 -2.94 0 +0.47 -1 +1.16
CS22879m094  0 -2.98 0 +0.58 -1 +0.74
CS22879m097  0 -2.65 0 +0.55 -1 +0.42
CS22880m067  0 -3.30 0 +0.57 -1 +1.67
CS22880m086  0 -3.26 0 +0.44 -1 +0.18
CS22881m032  0 -3.33 0 +0.48 -1 +1.21
CS22881m039  0 -2.79 0 +0.26 -1 +0.99
CS22881m070  0 -2.84 0 +0.33 -1 +0.83
CS22882m006  0 -2.80 0 +0.49 -1 +0.83
CS22882m012  0 -2.75 0 +0.44 -1 +1.23
CS22882m030  0 -3.31 0 +0.50 -1 +1.17
CS22884m020  0 -2.38 0 +0.45 -1 +0.73
CS22884m108  0 -3.16 0 +0.38 -1 +1.63
CS22885m040  0 -2.69 0 +0.36 -1 +0.98
CS22885m096  0 -4.31 0 +0.79 -1 +0.48
CS22885m203  0 -2.65 0 +0.50 -1 +0.85
CS22888m002  0 -2.92 0 +0.65 -1 +0.94
CS22888m014  0 -2.71 0 +0.46 -1 +0.97
CS22888m031  0 -3.56 0 +0.45 -1 +1.49
CS22889m050  0 -2.96 0 +0.48 -1 +0.97
CS22890m011  0 -2.58 0 +0.34 -1 +0.82
CS22890m064  0 -3.16 0 +0.43 -1 +1.48
CS22891m184  0 -2.67 0 +0.35 -1 +0.28
CS22891m221  0 -3.35 0 +0.42 -1 +1.09
CS22892m025  0 -2.72 0 +0.43 -1 +0.97
CS22893m005  0 -2.96 0 +0.60 -1 +0.50
CS22893m010  0 -3.03 0 +0.63 -1 +0.39
CS22893m011  0 -2.33 0 +0.42 -1 +0.68
CS22894m004  0 -2.80 0 +0.54 -1 +0.94
CS22894m019  0 -3.01 0 +0.53 -1 +1.17
CS22894m049  0 -2.83 0 +0.48 -1 +1.09
CS22896m115  0 -2.77 0 +0.51 -1 +0.67
CS22898m043  0 -2.81 0 +0.24 -1 +0.70
CS22898m047  0 -3.48 0 +0.63 -1 +0.49
CS22940m077  0 -3.10 0 +0.48 -1 +0.19
CS22941m027  0 -2.71 0 +0.22 -1 +0.58
CS22942m002  0 -3.57 0 +0.59 -1 +0.37
CS22943m059  0 -2.79 0 +0.45 -1 +0.59
CS22943m095  0 -2.48 0 +0.53 -1 +0.83
CS22943m137  0 -3.52 0 +0.46 -1 +1.23
CS22943m201  0 -2.69 0 +0.58 -1 +0.74
CS22944m014  0 -2.63 0 +0.49 -1 +0.98
CS22944m032  0 -3.19 0 +0.61 -1 -0.15
CS22944m061  0 -2.96 0 +0.47 -1 +1.15
CS22945m031  0 -3.16 0 +0.56 -1 +1.10
CS22945m063  0 -2.84 0 +0.40 -1 +0.55
CS22948m066  0 -3.34 0 +0.48 -1 -0.05
CS22948m093  0 -3.37 0 +0.27 -1 +1.97
CS22949m030  0 -2.94 0 +0.57 -1 +1.06
CS22949m037  0 -4.29 0 +1.25 -1 +0.51
CS22949m048  0 -3.46 0 +0.53 -1 -0.28
CS22950m046  0 -3.88 0 +0.72 -1 -0.25
CS22951m005  0 -2.71 0 +0.39 -1 +0.55
CS22894m023  0 -2.98 0 +0.47 -1 +0.92
CS22952m015  0 -3.78 0 +0.49 -1 -0.28
CS22953m037  0 -3.13 0 +0.38 -1 +1.24
CS22954m004  0 -2.89 0 +0.48 -1 +0.84
CS22956m015  0 -2.65 0 +0.48 -1 +0.77
CS22956m021  0 -2.62 0 +0.45 -1 +0.72
CS22956m050  0 -3.62 0 +0.81 -1 -0.19
CS22956m062  0 -2.75 0 +0.55 -1 +0.78
CS22956m081  0 -2.75 0 +0.35 -1 +1.60
CS22956m106  0 -2.65 0 +0.44 -1 +1.33
CS22956m110  0 -3.15 0 +0.23 -1 +1.08
CS22957m019  0 -2.42 0 +0.43 -1 +1.02
CS22957m022  0 -3.22 0 +0.56 -1 +0.05
CS22957m024  0 -2.86 0 +0.43 -1 +1.04
CS22957m027  0 -3.09 0 +0.20 -1 +0.88
CS22958m041  0 -2.99 0 +0.44 -1 +1.26
CS22958m042  0 -3.20 0 +0.61 -1 +1.13
CS22958m065  0 -2.27 0 +0.47 -1 +0.63
CS22958m074  0 -2.65 0 +0.46 -1 +0.84
CS22958m083  0 -3.04 0 +0.50 -1 -0.12
CS22959m074  0 -2.54 0 +0.18 -1 -0.25
CS22959m139  0 -2.56 0 +0.31 -1 +0.77
CS22960m010  0 -3.02 0 +0.35 -1 +0.97
CS22960m029  0 -2.91 0 +0.40 -1 +0.90
CS22960m048  0 -3.84 0 +0.54 -1 +0.42
CS22960m053  0 -3.49 0 +0.68 -1 +0.39
CS22963m004  0 -3.97 0 +0.72 -1 +1.13
CS22964m115  0 -2.76 0 +0.46 -1 +1.04
CS22964m176  0 -2.51 0 +0.38 -1 +1.12
CS22964m183  0 -2.94 0 +0.21 -1 +1.10
CS22964m214  0 -2.90 0 +0.42 -1 +1.13
CS22965m054  0 -3.03 0 +0.43 -1 +1.45
CS22968m001  0 -2.98 0 +0.44 -1 +1.04
CS22968m014  0 -3.92 0 +0.41 -1 -0.08
CS22968m029  0 -3.10 0 +0.49 -1 +1.19
CS29493m023  0 -2.78 0 +0.47 -1 +0.87
CS29493m050  0 -2.91 0 +0.48 -1 +1.33
CS29493m094  0 -2.55 0 +0.40 -1 +0.83
CS29495m005  0 -2.35 0 +0.49 -1 +0.67
CS29498m043  0 -3.86 0 +1.13 -1 +0.21
CS29499m060  0 -2.77 0 +0.30 -1 +0.84
CS29501m032  0 -2.81 0 +0.39 -1 +1.17
CS29502m092  0 -3.25 0 +0.44 -1 +0.01
CS29504m004  0 -2.37 0 +0.29 -1 +1.41
CS29504m006  0 -3.02 0 +0.41 -1 +1.54
CS29506m007  0 -3.09 0 +0.46 -1 +1.06
CS29506m090  0 -3.15 0 +0.51 -1 +1.25
CS29509m027  0 -2.42 0 +0.35 -1 +1.12
CS22886m013  0 -2.59 0 +0.39 -1 +0.91
CS22886m003  0 -2.90 0 +0.54 -1 +1.13
CS29513m015  0 -2.57 0 +0.34 -1 +0.82
CS29513m031  0 -2.63 0 +0.28 -1 +1.20
CS29514m007  0 -2.82 0 +0.31 -1 +1.72
CS29514m018  0 -2.71 0 +0.35 -1 +0.60
CS29514m037  0 -2.54 0 +0.32 -1 +0.61
CS29517m018  0 -2.86 0 +0.46 -1 +1.04
CS29517m042  0 -2.54 0 +0.40 -1 +0.75
CS30312m062  0 -2.65 0 +0.30 -1 +1.00
CS30339m015  0 -2.93 0 +0.51 -1 +0.93
CS30339m046  0 -2.70 0 -0.02 -1 +1.50
CS30339m069  0 -3.33 0 +0.43 -1 +1.34
CS30339m073  0 -3.87 0 +0.55 -1 +0.46
CS30492m001  0 -2.49 0 +0.42 -1 +0.57
CS30492m016  0 -3.35 0 +0.72 -1 +1.38
CS30493m071  0 -2.64 0 +0.46 -1 +0.43
BDp241676    0 -2.62 0 +0.42 -1 +0.45
BDp263578    0 -2.50 0 +0.46 -1 +0.52
BDp44493     0 -4.27 0 +0.63 -1 +0.91
BDp80245     0 -2.02 0 -0.24 -1 -0.23
CDm38245     0 -4.54 0 +0.56 -1 +0.60
CDm30298     0 -3.75 0 +0.50 -1 +0.27
G004m036     0 -2.20 0 -0.15 -1 +0.38
